0,lam,alp,N,T
2.1275930404663086,0.02,0.01,500,500
2.1315715312957764,0.02,0.01,500,500
2.1354148387908936,0.02,0.01,500,500
2.13710618019104,0.02,0.01,500,500
2.1354291439056396,0.02,0.01,500,500
2.1373722553253174,0.02,0.01,500,500
2.140352249145508,0.02,0.01,500,500
2.1392033100128174,0.02,0.01,500,500
2.1424813270568848,0.02,0.01,500,500
2.148416519165039,0.02,0.01,500,500
2.152813196182251,0.02,0.01,500,500
2.156952142715454,0.02,0.01,500,500
2.1568026542663574,0.02,0.01,500,500
2.156209945678711,0.02,0.01,500,500
2.156795024871826,0.02,0.01,500,500
2.156954050064087,0.02,0.01,500,500
2.161007881164551,0.02,0.01,500,500
2.1640121936798096,0.02,0.01,500,500
2.167686700820923,0.02,0.01,500,500
2.170227289199829,0.02,0.01,500,500
2.1695172786712646,0.02,0.01,500,500
2.1699001789093018,0.02,0.01,500,500
2.173419952392578,0.02,0.01,500,500
2.17602801322937,0.02,0.01,500,500
2.1751627922058105,0.02,0.01,500,500
2.1765928268432617,0.02,0.01,500,500
2.178861618041992,0.02,0.01,500,500
2.1820855140686035,0.02,0.01,500,500
2.18207049369812,0.02,0.01,500,500
2.1826906204223633,0.02,0.01,500,500
2.187317132949829,0.02,0.01,500,500
2.191009283065796,0.02,0.01,500,500
2.1932575702667236,0.02,0.01,500,500
2.195218086242676,0.02,0.01,500,500
2.1969566345214844,0.02,0.01,500,500
2.201781988143921,0.02,0.01,500,500
2.204864263534546,0.02,0.01,500,500
2.204932689666748,0.02,0.01,500,500
2.206350326538086,0.02,0.01,500,500
2.207005739212036,0.02,0.01,500,500
2.213446855545044,0.02,0.01,500,500
2.212759256362915,0.02,0.01,500,500
2.215115547180176,0.02,0.01,500,500
2.2162132263183594,0.02,0.01,500,500
2.2206921577453613,0.02,0.01,500,500
2.222179651260376,0.02,0.01,500,500
2.2221007347106934,0.02,0.01,500,500
2.2260217666625977,0.02,0.01,500,500
2.2288320064544678,0.02,0.01,500,500
2.233318328857422,0.02,0.01,500,500
2.2372589111328125,0.02,0.01,500,500
2.2395033836364746,0.02,0.01,500,500
2.2426750659942627,0.02,0.01,500,500
2.246458053588867,0.02,0.01,500,500
2.245286464691162,0.02,0.01,500,500
2.247828483581543,0.02,0.01,500,500
2.2515182495117188,0.02,0.01,500,500
2.2535319328308105,0.02,0.01,500,500
2.254271984100342,0.02,0.01,500,500
2.25661563873291,0.02,0.01,500,500
2.260472297668457,0.02,0.01,500,500
2.2627768516540527,0.02,0.01,500,500
2.2654402256011963,0.02,0.01,500,500
2.2670466899871826,0.02,0.01,500,500
2.269181728363037,0.02,0.01,500,500
2.271815776824951,0.02,0.01,500,500
2.275242567062378,0.02,0.01,500,500
2.2757487297058105,0.02,0.01,500,500
2.276902198791504,0.02,0.01,500,500
2.279381513595581,0.02,0.01,500,500
2.2800657749176025,0.02,0.01,500,500
2.2860279083251953,0.02,0.01,500,500
2.288987636566162,0.02,0.01,500,500
2.292494297027588,0.02,0.01,500,500
